instrument,mode,det_samp_spec,det_samp_img,fov,iq_min,iq_max,resolution,wavelength,band_width,grcwlen_min,grcwlen_max,filter,disperser,fpu,slit_width,ao,spatial_dims,coronagraph,skysub,mos,minexp,site
GMOS-N,imaging,0.08,0.08,330,0.25,10,4.632352941,0.63,0.136,0.562,0.698,r,none,none,999,no,2,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1688,0.461,0.73,0.37,1.1,none,B600,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,3744,0.461,0.73,0.37,1.1,none,B1200,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,4396,0.757,0.73,0.37,1.1,none,R831,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1918,0.764,0.73,0.37,1.1,none,R400,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,631,0.717,0.73,0.37,1.1,none,R150,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,5,0.25,10,2722,0.461,0.73,0.37,1.1,none,B600,IFU1,999,no,2,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,7,0.25,10,2722,0.461,0.154,0.398,0.552,g,B600,IFU2,999,no,2,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.86,0.153,0.78,0.933,CaT,R831,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.78,0.64,0.46,1.1,GG455,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.81,0.58,0.52,1.1,GG515,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GPI,spec,,,2.8,0.05,10,35,1.045,0.19,0.95,1.14,Y,GPI,Coronagraph,0.156,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,36,1.235,0.23,1.12,1.35,J,GPI,Coronagraph,0.184,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,46,1.65,0.3,1.5,1.8,H,GPI,Coronagraph,0.246,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,66,2.045,0.29,1.9,2.19,K1,GPI,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,79,2.265,0.27,2.13,2.4,K2,GPI,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,35,1.045,0.19,0.95,1.14,Y,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,36,1.235,0.23,1.12,1.35,J,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,46,1.65,0.3,1.5,1.8,H,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,66,2.045,0.29,1.9,2.19,K1,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,79,2.265,0.27,2.13,2.4,K2,none,none,999,yes,2,no,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,35,1.045,0.19,0.95,1.14,Y,none,Coronagraph,0.156,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,36,1.235,0.23,1.12,1.35,J,none,Coronagraph,0.184,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,46,1.65,0.3,1.5,1.8,H,none,Coronagraph,0.246,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,66,2.045,0.29,1.9,2.19,K1,none,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,79,2.265,0.27,2.13,2.4,K2,none,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
